hz	time	lib	heapUsed	heapTotal	rss
478469	1348673442784	poc	199663616	3847912	8228352
480769	1348673442993	poc	203554816	3661088	8228352
490196	1348673443197	poc	203571200	3167360	8228352
492611	1348673443400	poc	203653120	4749320	8228352
490196	1348673443604	poc	203735040	4258608	8228352
490196	1348673443808	poc	203960320	3786544	8228352
487805	1348673444013	poc	203976704	3313616	8228352
490196	1348673444217	poc	204058624	4896576	8228352
465116	1348673444433	poc	209477632	6219400	12422656
485437	1348673444640	poc	209489920	5755720	12422656
480769	1348673444848	poc	212553728	5269824	12422656
480769	1348673445056	poc	213098496	4768136	12422656
476190	1348673445266	poc	213295104	4263312	12422656
478469	1348673445475	poc	213368832	3762080	12422656
480769	1348673445683	poc	213368832	3246712	12422656
478469	1348673445892	poc	213368832	6866448	12422656
480769	1348673446100	poc	213504000	6367416	12422656
476190	1348673446310	poc	213569536	5861032	12422656
480769	1348673446518	poc	213569536	5365368	12422656
478469	1348673446727	poc	213569536	4865568	12422656
478469	1348673446936	poc	213704704	4364904	12422656
478469	1348673447145	poc	213774336	3859800	12422656
478469	1348673447354	poc	213774336	3350384	12422656
483092	1348673447561	poc	213839872	2858592	12422656
480769	1348673447770	poc	213909504	6474024	12422656
478469	1348673447979	poc	213983232	5978160	12422656
478469	1348673448188	poc	214114304	5477672	12422656
454545	1348673448408	poc	225058816	4825464	20811264
473934	1348673448619	poc	225058816	8436528	20811264
476190	1348673448830	poc	225058816	3801744	20811264
469484	1348673449043	poc	231256064	7404808	20811264
473934	1348673449254	poc	231395328	2767840	20811264
473934	1348673449465	poc	231661568	6355744	20811264
476190	1348673449675	poc	231665664	9952560	20811264
476190	1348673449885	poc	231800832	5314344	20811264
476190	1348673450095	poc	231800832	8920888	20811264
476190	1348673450305	poc	231940096	4291744	20811264
478469	1348673450515	poc	232009728	7904160	20811264
478469	1348673450724	poc	232009728	3273352	20811264
476190	1348673450934	poc	232013824	6872416	20811264
476190	1348673451144	poc	232083456	10489696	20811264
473934	1348673451355	poc	232284160	5850568	20811264
476190	1348673451565	poc	232288256	9465888	20811264
476190	1348673451775	poc	232423424	4826760	20811264
478469	1348673451984	poc	232423424	8446792	20811264
476190	1348673452194	poc	232566784	3802824	20811264
476190	1348673452404	poc	232566784	7428072	20811264
478469	1348673452613	poc	232566784	11032520	20811264
476190	1348673452823	poc	232710144	6404192	20811264
478469	1348673453032	poc	232775680	10010624	20811264
473934	1348673453243	poc	232910848	5380376	20811264
478469	1348673453452	poc	232914944	8986816	20811264
478469	1348673453661	poc	233050112	4356568	20811264
478469	1348673453871	poc	233050112	7968992	20811264
476190	1348673454081	poc	233054208	3338104	20811264
478469	1348673454290	poc	233119744	6937208	20811264
478469	1348673454499	poc	233185280	10554464	20811264
476190	1348673454709	poc	233394176	5915344	20811264
471698	1348673454921	poc	237641728	9530672	20811264
465116	1348673455136	poc	243355648	4891576	20811264
473934	1348673455347	poc	244170752	8511656	20811264
476190	1348673455557	poc	244305920	3867704	20811264
476190	1348673455767	poc	244305920	7492936	20811264
478469	1348673455976	poc	244310016	11097384	20811264
478469	1348673456185	poc	244580352	6469080	20811264
476190	1348673456395	poc	244580352	10075512	20811264
434783	1348673456625	poc	262889472	5278384	37588480
423729	1348673456861	poc	262901760	8895584	37588480
423729	1348673457097	poc	262901760	12509504	37588480
423729	1348673457333	poc	262901760	16109664	37588480
423729	1348673457569	poc	262901760	3228504	37588480
427350	1348673457803	poc	262905856	6840200	37588480
420168	1348673458042	poc	270987264	10449840	37588480
423729	1348673458279	poc	270995456	14056328	37588480
423729	1348673458515	poc	270995456	17665944	37588480
423729	1348673458751	poc	270995456	4763456	37588480
420168	1348673458989	poc	275107840	8352088	37588480
421941	1348673459226	poc	275148800	11961456	37588480
416667	1348673459466	poc	275148800	15565632	37588480
421941	1348673459703	poc	275148800	19178032	37588480
421941	1348673459940	poc	275148800	6271904	37588480
423729	1348673460176	poc	275148800	9872680	37588480
423729	1348673460412	poc	275148800	13459280	37588480
423729	1348673460648	poc	275148800	17052304	37588480
421941	1348673460885	poc	275148800	4169296	37588480
427350	1348673461119	poc	275148800	7772472	37588480
425532	1348673461354	poc	275152896	11370992	37588480
427350	1348673461588	poc	275152896	14990552	37588480
425532	1348673461823	poc	275152896	18580760	37588480
423729	1348673462059	poc	275152896	5694520	37588480
425532	1348673462294	poc	275152896	9289448	37588480
427350	1348673462528	poc	275152896	12892840	37588480
427350	1348673462762	poc	275152896	16488640	37588480
423729	1348673462998	poc	275152896	3584432	37588480
425532	1348673463233	poc	275152896	7190240	37588480
429185	1348673463466	poc	275152896	10787072	37588480
427350	1348673463700	poc	275152896	14390888	37588480
427350	1348673463934	poc	275156992	17997904	37588480
425532	1348673464169	poc	275156992	5112616	37588480
427350	1348673464403	poc	275156992	8712344	37588480
