benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	count
js	1	204	1349271430371	12242944	2306664	5082624	0.8.11	3.11.10.22	50000000
js	2	204	1349271430579	12939264	2885832	5082624	0.8.11	3.11.10.22	50000000
js	3	201	1349271430780	12939264	2891840	5082624	0.8.11	3.11.10.22	50000000
js	4	200	1349271430980	12943360	2894240	5082624	0.8.11	3.11.10.22	50000000
js	5	202	1349271431182	12947456	2896672	5082624	0.8.11	3.11.10.22	50000000
js	6	203	1349271431385	12947456	2899632	5082624	0.8.11	3.11.10.22	50000000
js	7	202	1349271431587	12951552	2902032	5082624	0.8.11	3.11.10.22	50000000
js	8	203	1349271431791	12951552	2904432	5082624	0.8.11	3.11.10.22	50000000
js	9	201	1349271431992	12955648	2906928	5082624	0.8.11	3.11.10.22	50000000
js	10	203	1349271432197	12955648	2909360	5082624	0.8.11	3.11.10.22	50000000
js	11	202	1349271432399	13672448	2490760	6131200	0.8.11	3.11.10.22	50000000
js	12	207	1349271432606	13676544	2493288	6131200	0.8.11	3.11.10.22	50000000
js	13	207	1349271432813	13676544	2495752	6131200	0.8.11	3.11.10.22	50000000
js	14	204	1349271433017	13680640	2498152	6131200	0.8.11	3.11.10.22	50000000
js	15	205	1349271433222	13680640	2500680	6131200	0.8.11	3.11.10.22	50000000
js	16	206	1349271433428	13684736	2503112	6131200	0.8.11	3.11.10.22	50000000
js	17	203	1349271433631	13688832	2505576	6131200	0.8.11	3.11.10.22	50000000
js	18	203	1349271433835	13688832	2508272	6131200	0.8.11	3.11.10.22	50000000
js	19	203	1349271434038	13692928	2510736	6131200	0.8.11	3.11.10.22	50000000
js	20	205	1349271434243	13692928	2513200	6131200	0.8.11	3.11.10.22	50000000
js	21	205	1349271434448	13697024	2515696	6131200	0.8.11	3.11.10.22	50000000
js	22	204	1349271434652	13701120	2518128	6131200	0.8.11	3.11.10.22	50000000
js	23	204	1349271434856	13701120	2520592	6131200	0.8.11	3.11.10.22	50000000
js	24	205	1349271435061	13705216	2523056	6131200	0.8.11	3.11.10.22	50000000
js	25	203	1349271435264	13705216	2525488	6131200	0.8.11	3.11.10.22	50000000
js	26	205	1349271435469	13709312	2527952	6131200	0.8.11	3.11.10.22	50000000
js	27	204	1349271435673	13713408	2530480	6131200	0.8.11	3.11.10.22	50000000
js	28	205	1349271435878	13713408	2532912	6131200	0.8.11	3.11.10.22	50000000
js	29	207	1349271436085	13717504	2535312	6131200	0.8.11	3.11.10.22	50000000
js	30	208	1349271436293	13717504	2537840	6131200	0.8.11	3.11.10.22	50000000
js	31	205	1349271436498	13721600	2540272	6131200	0.8.11	3.11.10.22	50000000
js	32	207	1349271436705	13721600	2542736	6131200	0.8.11	3.11.10.22	50000000
js	33	206	1349271436911	13725696	2545264	6131200	0.8.11	3.11.10.22	50000000
js	34	203	1349271437114	13729792	2547728	6131200	0.8.11	3.11.10.22	50000000
js	35	204	1349271437318	13729792	2550192	6131200	0.8.11	3.11.10.22	50000000
js	36	206	1349271437524	13733888	2552888	6131200	0.8.11	3.11.10.22	50000000
js	37	205	1349271437729	13733888	2555352	6131200	0.8.11	3.11.10.22	50000000
js	38	205	1349271437934	13737984	2557784	6131200	0.8.11	3.11.10.22	50000000
js	39	206	1349271438140	13742080	2560280	6131200	0.8.11	3.11.10.22	50000000
js	40	206	1349271438346	13742080	2562712	6131200	0.8.11	3.11.10.22	50000000
js	41	207	1349271438553	13770752	2567216	6131200	0.8.11	3.11.10.22	50000000
js	42	206	1349271438759	13774848	2569744	6131200	0.8.11	3.11.10.22	50000000
