benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mysql-0.9.6	1	2061	1349273550950	26394624	3180504	11312128	0.8.11	3.11.10.22	100000	180764728
mysql-0.9.6	2	2250	1349273553201	31858688	4483544	15506432	0.8.11	3.11.10.22	100000	180797388
mysql-0.9.6	3	2265	1349273555466	31866880	5342608	15506432	0.8.11	3.11.10.22	100000	180781056
mysql-0.9.6	4	2260	1349273557726	31903744	6105840	15506432	0.8.11	3.11.10.22	100000	180764672
mysql-0.9.6	5	2263	1349273559989	31907840	6804848	15506432	0.8.11	3.11.10.22	100000	180781056
mysql-0.9.6	6	2264	1349273562253	31928320	7567912	15506432	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	7	2272	1349273564525	31965184	4188080	15506432	0.8.11	3.11.10.22	100000	180797388
mysql-0.9.6	8	2274	1349273566799	31989760	4859528	15506432	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	9	2278	1349273569077	32014336	5589248	15506432	0.8.11	3.11.10.22	100000	180797388
mysql-0.9.6	10	2311	1349273571388	32038912	6286832	15506432	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	11	2296	1349273573684	32059392	6983024	15506432	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	12	2284	1349273575968	32169984	7789552	15506432	0.8.11	3.11.10.22	100000	180781056
mysql-0.9.6	13	2271	1349273578239	32202752	4418360	15506432	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	14	2281	1349273580520	32227328	5167816	15506432	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	15	2271	1349273582791	32251904	5892608	15506432	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	16	2288	1349273585079	32280576	6650600	15506432	0.8.11	3.11.10.22	100000	180797388
mysql-0.9.6	17	2264	1349273587343	40718336	10869688	23895040	0.8.11	3.11.10.22	100000	180781056
mysql-0.9.6	18	2280	1349273589623	40718336	11562072	23895040	0.8.11	3.11.10.22	100000	180781056
mysql-0.9.6	19	2278	1349273591901	40718336	3942936	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	20	2281	1349273594183	40718336	4577584	23895040	0.8.11	3.11.10.22	100000	180764672
mysql-0.9.6	21	2287	1349273596470	40718336	5179904	23895040	0.8.11	3.11.10.22	100000	180764672
mysql-0.9.6	22	2284	1349273598754	40718336	5812328	23895040	0.8.11	3.11.10.22	100000	180781056
mysql-0.9.6	23	2286	1349273601040	40718336	6555616	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	24	2288	1349273603328	40718336	7179712	23895040	0.8.11	3.11.10.22	100000	180781056
mysql-0.9.6	25	2285	1349273605613	40718336	7815312	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	26	2279	1349273607892	40718336	8442968	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	27	2283	1349273610175	40718336	9065192	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	28	2290	1349273612465	40718336	9674480	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	29	2299	1349273614764	40718336	10314544	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	30	2295	1349273617059	40726528	10928016	23895040	0.8.11	3.11.10.22	100000	180797388
mysql-0.9.6	31	2290	1349273619349	40738816	11558432	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	32	2281	1349273621630	40755200	3917824	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	33	2292	1349273623922	40792064	4555832	23895040	0.8.11	3.11.10.22	100000	180764672
mysql-0.9.6	34	2295	1349273626217	40804352	5173184	23895040	0.8.11	3.11.10.22	100000	180797388
mysql-0.9.6	35	2289	1349273628506	40820736	5798744	23895040	0.8.11	3.11.10.22	100000	180764672
mysql-0.9.6	36	2279	1349273630785	40837120	6430800	23895040	0.8.11	3.11.10.22	100000	180764672
mysql-0.9.6	37	2310	1349273633095	40849408	7053328	23895040	0.8.11	3.11.10.22	100000	180797388
mysql-0.9.6	38	2300	1349273635395	40865792	7678976	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	39	2283	1349273637678	40878080	8315472	23895040	0.8.11	3.11.10.22	100000	180797440
mysql-0.9.6	40	2279	1349273639957	40894464	8957040	23895040	0.8.11	3.11.10.22	100000	180764672
