benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mysql-2.0.0-alpha3	1	827	1349273640868	25935872	3867952	10280192	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	2	797	1349273641666	32845824	6528464	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	3	799	1349273642465	32919552	4620160	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	4	806	1349273643271	32923648	6771344	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	5	802	1349273644073	35803136	4725752	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	6	794	1349273644867	35844096	6871088	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	7	803	1349273645670	35852288	4852704	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	8	803	1349273646473	35856384	6995432	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	9	803	1349273647276	35864576	5004320	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	10	797	1349273648073	35872768	7151904	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	11	801	1349273648874	35872768	5143000	15506432	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	12	796	1349273649670	49688576	7226368	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	13	775	1349273650445	49766400	9361880	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	14	776	1349273651222	49905664	11431920	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	15	771	1349273651993	49905664	5289976	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	16	776	1349273652769	49905664	7411040	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	17	784	1349273653553	49909760	9487472	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	18	778	1349273654331	49909760	11546640	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	19	784	1349273655115	49909760	5366264	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	20	779	1349273655894	49909760	7449440	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	21	780	1349273656674	49909760	9527848	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	22	775	1349273657449	49909760	11617008	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	23	787	1349273658236	49909760	5429400	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	24	776	1349273659012	55009280	7517424	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	25	785	1349273659797	55009280	9610104	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	26	788	1349273660585	55013376	11661160	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	27	783	1349273661368	55013376	5478712	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	28	780	1349273662148	55078912	7560616	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	29	780	1349273662928	55078912	9625768	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	30	777	1349273663706	55078912	11724936	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	31	785	1349273664491	55078912	5532488	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	32	782	1349273665273	55078912	7604632	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	33	782	1349273666055	55078912	9673360	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	34	778	1349273666833	55078912	11735488	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	35	786	1349273667619	55078912	5533280	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	36	784	1349273668403	55078912	7571936	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	37	771	1349273669174	55078912	9683152	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	38	792	1349273669966	55078912	11719464	23895040	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	39	799	1349273670765	88227840	13772016	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	40	806	1349273671571	88236032	7442632	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	41	801	1349273672372	88240128	17631240	40672256	0.8.11	3.11.10.22	100000	180822241
