benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
db-mysql-0.7.6	1	2962	1349368612304	477777920	238094240	240380672	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	2	3004	1349368615351	497733632	238618176	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	3	2961	1349368618348	507658240	238547872	242444544	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	4	2978	1349368621360	519655424	238581136	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	5	2921	1349368624320	521367552	238516048	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	6	3005	1349368627359	521003008	238487032	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	7	2926	1349368630321	523456512	238499808	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	8	3113	1349368633469	524918784	238487464	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	9	3075	1349368636576	526188544	238499808	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	10	3031	1349368639641	526315520	238487248	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	11	3126	1349368642805	526237696	238499840	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	12	3196	1349368646037	526364672	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	13	3108	1349368649185	526237696	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	14	3138	1349368652362	530190336	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	15	3115	1349368655511	530063360	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	16	3213	1349368658762	530190336	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	17	3225	1349368662023	530935808	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	18	3197	1349368665266	531062784	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	19	3203	1349368668506	530935808	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	20	3262	1349368671808	531062784	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	21	2959	1349368674805	530935808	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	22	3033	1349368677874	531062784	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	23	3037	1349368680946	530935808	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	24	3068	1349368684057	531062784	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	25	2967	1349368687061	530935808	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	26	3135	1349368690232	531062784	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	27	2956	1349368693224	531640320	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	28	3011	1349368696270	531767296	238486864	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	29	2981	1349368699286	531640320	238499240	241412608	0.8.11	3.11.10.22	100000	
db-mysql-0.7.6	30	3026	1349368702347	531767296	238476944	241412608	0.8.11	3.11.10.22	100000	
