benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mariadb-0.1.7	1	401	1349277198442	17936384	4495032	8228352	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	2	399	1349277198843	18419712	3186392	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	3	398	1349277199241	18436096	3073352	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	4	397	1349277199638	18444288	5013904	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	5	400	1349277200038	18468864	4895792	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	6	397	1349277200435	18501632	4775552	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	7	391	1349277200827	18505728	4659808	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	8	403	1349277201230	18513920	4526672	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	9	397	1349277201627	18530304	4413128	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	10	396	1349277202023	18558976	4289544	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	11	396	1349277202419	18575360	4162088	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	12	372	1349277202791	18604032	4031016	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	13	372	1349277203164	18608128	3905192	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	14	371	1349277203535	18608128	3776200	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	15	366	1349277203901	18620416	3659640	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	16	370	1349277204271	18620416	3541936	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	17	374	1349277204645	18624512	3419648	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	18	373	1349277205018	18628608	3296184	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	19	376	1349277205394	18640896	3190480	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	20	374	1349277205768	18640896	3063648	9260288	0.8.11	3.11.10.22	100000	0
