benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mysql-libmysqlclient-1.5.1	1	875	1349367944467	205410304	2755544	8228352	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	2	831	1349367945303	395137024	4598776	9260288	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	3	851	1349367946154	584032256	3465176	9260288	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	4	842	1349367946996	773279744	4406824	9260288	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	5	856	1349367947852	966230016	5318144	13454592	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	6	880	1349367948732	1155108864	6057296	13454592	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	7	841	1349367949655	230457344	3447376	13454592	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	8	862	1349367950531	230195200	3406992	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	9	867	1349367951398	416944128	4161696	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	10	883	1349367952281	602025984	4886960	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	11	848	1349367953170	232341504	3377912	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	12	857	1349367954027	419172352	4132744	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	13	874	1349367954901	605700096	4858040	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	14	846	1349367955788	235855872	3378472	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	15	849	1349367956637	420777984	4133448	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	16	850	1349367957487	609054720	4858744	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	17	857	1349367958385	239210496	3377928	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	18	857	1349367959242	424132608	4134176	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	19	874	1349367960117	609054720	4859424	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	20	860	1349367961018	239235072	3374720	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	21	850	1349367961868	424157184	4132520	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	22	848	1349367962716	609689600	4859160	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	23	836	1349367963591	239849472	3374832	12422656	0.8.11	3.11.10.22	100000	
