benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
mysql2	1	429	1349613562049	199200768	2783280	8228352	0.8.11	3.11.10.22	180821863	100000
mysql2	2	463	1349613562517	200200192	3613944	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	3	461	1349613562979	200298496	3402640	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	4	462	1349613563441	200515584	5236688	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	5	459	1349613563900	200536064	4806072	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	6	461	1349613564361	200683520	4382544	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	7	456	1349613564818	206094336	5687440	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	8	445	1349613565263	206159872	5279952	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	9	449	1349613565712	206159872	4864016	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	10	444	1349613566156	206159872	4394016	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	11	446	1349613566602	206295040	3939024	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	12	447	1349613567049	206426112	3463256	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	13	448	1349613567497	206426112	7124800	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	14	447	1349613567944	206495744	6656072	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	15	448	1349613568392	206626816	6195576	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	16	450	1349613568842	209534976	5725272	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	17	447	1349613569289	209805312	5266472	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	18	451	1349613569740	209805312	4799552	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	19	451	1349613570192	209870848	4351312	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	20	451	1349613570643	209936384	3881008	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	21	450	1349613571093	210071552	3424176	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	22	450	1349613571543	210071552	7077000	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	23	452	1349613571998	210104320	6659432	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	24	451	1349613572449	210104320	6191608	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	25	457	1349613572906	220856320	9836032	21843200	0.8.11	3.11.10.22	180821863	100000
mysql2	26	457	1349613573366	220856320	6598720	21843200	0.8.11	3.11.10.22	180821863	100000
mysql2	27	457	1349613573823	220856320	10259744	21843200	0.8.11	3.11.10.22	180821863	100000
mysql2	28	456	1349613574279	220991488	5652016	21843200	0.8.11	3.11.10.22	180821863	100000
mysql2	29	454	1349613574737	220737536	6572392	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	30	452	1349613575189	220745728	10233064	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	31	454	1349613575643	220745728	5625424	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	32	454	1349613576100	220745728	6562888	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	33	453	1349613576553	220749824	10224576	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	34	452	1349613577006	220753920	5618872	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	35	455	1349613577464	220753920	6563688	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	36	455	1349613577919	220753920	10225560	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	37	455	1349613578374	220758016	5618896	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	38	455	1349613578829	220823552	9253136	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	39	453	1349613579283	220823552	4638368	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	40	456	1349613579739	220893184	8289960	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	41	456	1349613580198	222773248	6569152	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	42	455	1349613580654	223043584	10229936	20811264	0.8.11	3.11.10.22	180821863	100000
