benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
new-parser	1	214	1349613794579	199020544	2753072	8228352	0.8.11	3.11.10.22	180821863	100000
new-parser	2	211	1349613794795	199786496	4475712	8228352	0.8.11	3.11.10.22	180821863	100000
new-parser	3	212	1349613795007	199888896	3314960	8228352	0.8.11	3.11.10.22	180821863	100000
new-parser	4	212	1349613795219	200187904	4174432	9260288	0.8.11	3.11.10.22	180821863	100000
new-parser	5	212	1349613795431	200273920	4839504	9260288	0.8.11	3.11.10.22	180821863	100000
new-parser	6	211	1349613795642	200495104	3455264	9260288	0.8.11	3.11.10.22	180821863	100000
new-parser	7	210	1349613795852	200515584	4122008	9260288	0.8.11	3.11.10.22	180821863	100000
new-parser	8	217	1349613796069	205803520	6525744	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	9	214	1349613796283	206016512	5172720	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	10	214	1349613796497	206163968	3779576	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	11	214	1349613796711	206168064	6488720	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	12	217	1349613796928	206311424	5060192	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	13	217	1349613797145	206385152	3647360	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	14	218	1349613797363	206454784	6350112	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	15	218	1349613797581	206458880	4936936	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	16	218	1349613797799	206532608	3515152	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	17	217	1349613798016	206737408	6218488	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	18	217	1349613798233	206745600	4804688	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	19	218	1349613798451	206749696	3392992	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	20	217	1349613798668	206884864	6100360	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	21	217	1349613798885	206888960	4679208	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	22	217	1349613799102	206966784	3253528	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	23	217	1349613799319	207036416	5954504	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	24	217	1349613799536	207040512	4523952	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	25	217	1349613799754	207179776	3100496	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	26	217	1349613799971	207187968	5806552	13454592	0.8.11	3.11.10.22	180821863	100000
new-parser	27	229	1349613800200	218333184	4164416	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	28	221	1349613800421	218337280	10977360	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	29	220	1349613800641	218341376	9539712	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	30	220	1349613800861	218345472	8102544	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	31	221	1349613801082	218349568	6666024	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	32	219	1349613801301	218353664	5228792	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	33	223	1349613801524	224555008	3784688	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	34	220	1349613801744	224628736	10597088	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	35	220	1349613801965	224702464	9155880	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	36	219	1349613802184	224972800	7723568	20811264	0.8.11	3.11.10.22	180821863	100000
