benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
mysql2	1	415	1349270637249	199057408	2783872	8228352	0.8.11	3.11.10.22	180821863	100000
mysql2	2	444	1349270637697	200052736	3614344	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	3	438	1349270638135	200142848	3402784	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	4	441	1349270638576	200364032	5236624	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	5	439	1349270639015	200376320	4805752	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	6	437	1349270639452	200531968	4382016	9260288	0.8.11	3.11.10.22	180821863	100000
mysql2	7	451	1349270639903	205869056	3625040	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	8	450	1349270640353	205934592	3196456	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	9	451	1349270640804	205934592	6879856	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	10	448	1349270641252	206000128	6418064	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	11	448	1349270641700	206139392	5947160	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	12	452	1349270642153	206139392	5488320	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	13	451	1349270642604	206340096	5023400	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	14	451	1349270643055	206340096	4574560	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	15	452	1349270643507	206405632	4124704	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	16	451	1349270643958	206544896	3658672	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	17	452	1349270644410	206544896	3190656	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	18	456	1349270644866	206544896	6837880	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	19	460	1349270645327	206680064	6371464	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	20	451	1349270645778	206680064	5905088	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	21	452	1349270646230	206811136	5446056	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	22	451	1349270646682	206811136	4973048	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	23	451	1349270647135	206843904	6656432	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	24	450	1349270647585	206843904	6188440	13454592	0.8.11	3.11.10.22	180821863	100000
mysql2	25	457	1349270648042	216985600	9832288	21843200	0.8.11	3.11.10.22	180821863	100000
mysql2	26	453	1349270648498	216985600	6598448	21843200	0.8.11	3.11.10.22	180821863	100000
