benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
poc	1	211	1349270546870	199049216	2754504	8228352	0.8.11	3.11.10.22	180821863	100000
poc	2	210	1349270547085	199815168	4476920	8228352	0.8.11	3.11.10.22	180821863	100000
poc	3	208	1349270547293	199921664	3315928	8228352	0.8.11	3.11.10.22	180821863	100000
poc	4	209	1349270547502	200224768	4174960	9260288	0.8.11	3.11.10.22	180821863	100000
poc	5	206	1349270547708	200306688	4839824	9260288	0.8.11	3.11.10.22	180821863	100000
poc	6	208	1349270547916	200523776	3455376	9260288	0.8.11	3.11.10.22	180821863	100000
poc	7	208	1349270548124	200548352	4121816	9260288	0.8.11	3.11.10.22	180821863	100000
poc	8	214	1349270548339	205832192	6526984	13454592	0.8.11	3.11.10.22	180821863	100000
poc	9	210	1349270548549	206041088	5174152	13454592	0.8.11	3.11.10.22	180821863	100000
poc	10	211	1349270548760	206188544	3780792	13454592	0.8.11	3.11.10.22	180821863	100000
poc	11	211	1349270548971	206192640	6489912	13454592	0.8.11	3.11.10.22	180821863	100000
poc	12	215	1349270549186	206331904	5061104	13454592	0.8.11	3.11.10.22	180821863	100000
poc	13	215	1349270549401	206340096	3615984	13454592	0.8.11	3.11.10.22	180821863	100000
poc	14	214	1349270549616	206540800	6313168	13454592	0.8.11	3.11.10.22	180821863	100000
poc	15	214	1349270549830	206544896	4894384	13454592	0.8.11	3.11.10.22	180821863	100000
poc	16	214	1349270550044	206618624	3477488	13454592	0.8.11	3.11.10.22	180821863	100000
poc	17	217	1349270550261	206757888	6160152	13454592	0.8.11	3.11.10.22	180821863	100000
poc	18	215	1349270550476	206761984	4735320	13454592	0.8.11	3.11.10.22	180821863	100000
poc	19	214	1349270550690	206770176	3308248	13454592	0.8.11	3.11.10.22	180821863	100000
poc	20	215	1349270550905	206843904	5992360	13454592	0.8.11	3.11.10.22	180821863	100000
poc	21	231	1349270551136	217649152	4563704	13454592	0.8.11	3.11.10.22	180821863	100000
poc	22	218	1349270551354	217788416	3141360	13454592	0.8.11	3.11.10.22	180821863	100000
poc	23	217	1349270551571	217858048	5834288	13454592	0.8.11	3.11.10.22	180821863	100000
poc	24	216	1349270551787	217931776	4403816	13454592	0.8.11	3.11.10.22	180821863	100000
poc	25	216	1349270552003	218005504	7101152	13454592	0.8.11	3.11.10.22	180821863	100000
poc	26	218	1349270552221	218009600	5682792	13454592	0.8.11	3.11.10.22	180821863	100000
poc	27	227	1349270552449	228569088	8156048	20811264	0.8.11	3.11.10.22	180821863	100000
poc	28	219	1349270552668	228577280	6734704	20811264	0.8.11	3.11.10.22	180821863	100000
poc	29	218	1349270552886	228577280	5299880	20811264	0.8.11	3.11.10.22	180821863	100000
poc	30	219	1349270553105	228581376	3881024	20811264	0.8.11	3.11.10.22	180821863	100000
poc	31	218	1349270553323	228585472	10686488	20811264	0.8.11	3.11.10.22	180821863	100000
poc	32	220	1349270553543	228585472	9232872	20811264	0.8.11	3.11.10.22	180821863	100000
poc	33	221	1349270553765	228589568	7789968	20811264	0.8.11	3.11.10.22	180821863	100000
poc	34	220	1349270553985	228593664	6360480	20811264	0.8.11	3.11.10.22	180821863	100000
poc	35	219	1349270554204	228667392	4926912	20811264	0.8.11	3.11.10.22	180821863	100000
poc	36	217	1349270554422	228667392	3484040	20811264	0.8.11	3.11.10.22	180821863	100000
poc	37	219	1349270554641	228671488	10291760	20811264	0.8.11	3.11.10.22	180821863	100000
poc	38	218	1349270554859	228675584	8858056	20811264	0.8.11	3.11.10.22	180821863	100000
poc	39	220	1349270555079	228884480	7428688	20811264	0.8.11	3.11.10.22	180821863	100000
poc	40	217	1349270555297	229015552	5983656	20811264	0.8.11	3.11.10.22	180821863	100000
poc	41	219	1349270555516	229019648	4559640	20811264	0.8.11	3.11.10.22	180821863	100000
poc	42	219	1349270555735	229093376	3113616	20811264	0.8.11	3.11.10.22	180821863	100000
poc	43	217	1349270555952	229093376	9917944	20811264	0.8.11	3.11.10.22	180821863	100000
poc	44	220	1349270556172	229163008	8492576	20811264	0.8.11	3.11.10.22	180821863	100000
poc	45	219	1349270556391	229433344	7058648	20811264	0.8.11	3.11.10.22	180821863	100000
poc	46	219	1349270556610	229437440	5613488	20811264	0.8.11	3.11.10.22	180821863	100000
poc	47	219	1349270556829	229437440	4167856	20811264	0.8.11	3.11.10.22	180821863	100000
poc	48	218	1349270557047	229441536	10971856	20811264	0.8.11	3.11.10.22	180821863	100000
poc	49	219	1349270557266	229445632	9536664	20811264	0.8.11	3.11.10.22	180821863	100000
poc	50	219	1349270557486	229715968	8103392	20811264	0.8.11	3.11.10.22	180821863	100000
poc	51	219	1349270557705	229720064	6660096	20811264	0.8.11	3.11.10.22	180821863	100000
poc	52	223	1349270557928	235986944	5217536	20811264	0.8.11	3.11.10.22	180821863	100000
poc	53	220	1349270558148	235991040	3774656	20811264	0.8.11	3.11.10.22	180821863	100000
poc	54	218	1349270558366	235991040	10577000	20811264	0.8.11	3.11.10.22	180821863	100000
poc	55	219	1349270558585	236068864	9143376	20811264	0.8.11	3.11.10.22	180821863	100000
poc	56	218	1349270558804	236339200	7708576	20811264	0.8.11	3.11.10.22	180821863	100000
poc	57	218	1349270559022	236339200	6267392	20811264	0.8.11	3.11.10.22	180821863	100000
poc	58	218	1349270559241	236343296	4830032	20811264	0.8.11	3.11.10.22	180821863	100000
poc	59	218	1349270559459	236482560	3406816	20811264	0.8.11	3.11.10.22	180821863	100000
poc	60	218	1349270559677	236486656	10209544	20811264	0.8.11	3.11.10.22	180821863	100000
poc	61	219	1349270559896	236621824	8767584	20811264	0.8.11	3.11.10.22	180821863	100000
poc	62	220	1349270560116	236826624	7320704	20811264	0.8.11	3.11.10.22	180821863	100000
poc	63	218	1349270560335	236904448	5886488	20811264	0.8.11	3.11.10.22	180821863	100000
poc	64	219	1349270560554	236908544	4437112	20811264	0.8.11	3.11.10.22	180821863	100000
poc	65	218	1349270560772	236908544	2993880	20811264	0.8.11	3.11.10.22	180821863	100000
poc	66	242	1349270561014	254967808	9588712	37588480	0.8.11	3.11.10.22	180821863	100000
poc	67	246	1349270561260	254976000	16415104	37588480	0.8.11	3.11.10.22	180821863	100000
poc	68	245	1349270561505	254976000	6743728	37588480	0.8.11	3.11.10.22	180821863	100000
poc	69	242	1349270561747	254980096	13553056	37588480	0.8.11	3.11.10.22	180821863	100000
poc	70	244	1349270561992	254980096	3868320	37588480	0.8.11	3.11.10.22	180821863	100000
poc	71	245	1349270562237	254984192	10646184	37588480	0.8.11	3.11.10.22	180821863	100000
poc	72	243	1349270562480	254984192	17450888	37588480	0.8.11	3.11.10.22	180821863	100000
poc	73	245	1349270562725	254988288	7757032	37588480	0.8.11	3.11.10.22	180821863	100000
poc	74	243	1349270562968	254988288	14558904	37588480	0.8.11	3.11.10.22	180821863	100000
poc	75	245	1349270563213	254988288	4871208	37588480	0.8.11	3.11.10.22	180821863	100000
poc	76	243	1349270563457	254988288	11680904	37588480	0.8.11	3.11.10.22	180821863	100000
poc	77	244	1349270563701	254988288	18487912	37588480	0.8.11	3.11.10.22	180821863	100000
poc	78	245	1349270563946	254988288	8815776	37588480	0.8.11	3.11.10.22	180821863	100000
poc	79	244	1349270564190	254988288	15627304	37588480	0.8.11	3.11.10.22	180821863	100000
poc	80	244	1349270564434	254988288	5944488	37588480	0.8.11	3.11.10.22	180821863	100000
poc	81	244	1349270564678	254988288	12742632	37588480	0.8.11	3.11.10.22	180821863	100000
poc	82	244	1349270564922	254988288	3059944	37588480	0.8.11	3.11.10.22	180821863	100000
poc	83	243	1349270565166	254988288	9861320	37588480	0.8.11	3.11.10.22	180821863	100000
